# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/MUCOM88em.d88
frames    : 1800
type      : (なし)

[測定終了時のテキスト画面]
   0|      RAM(64KB     )

[メインCPU] 総アクセス回数: exec=11160135 read=10731029 write=324872 in=78621 out=32586

[メインCPU 実行された番地 (fetch)]
  0000-0001  (2)
  0004-0004  (1)
  0008-000D  (6)
  0010-0012  (3)
  0014-0015  (2)
  0018-0019  (2)
  001C-001C  (1)
  0020-0025  (6)
  0030-0030  (1)
  0033-0033  (1)
  0035-0035  (1)
  0072-0072  (1)
  0075-0077  (3)
  007A-007A  (1)
  0142-0142  (1)
  0144-0145  (2)
  0148-014A  (3)
  014C-014C  (1)
  0154-0154  (1)
  0156-0156  (1)
  0158-0158  (1)
  036F-036F  (1)
  0372-0372  (1)
  03F3-03F3  (1)
  03F6-03F6  (1)
  043D-043E  (2)
  0440-0442  (3)
  0444-0445  (2)
  0447-0447  (1)
  0449-044A  (2)
  044C-044C  (1)
  044E-044E  (1)
  047A-047B  (2)
  047D-047D  (1)
  047F-047F  (1)
  0482-0483  (2)
  0486-0486  (1)
  0489-048A  (2)
  048D-048D  (1)
  0490-0490  (1)
  0493-0493  (1)
  0496-0496  (1)
  0499-0499  (1)
  049C-049C  (1)
  049F-049F  (1)
  04A2-04A2  (1)
  04A4-04A4  (1)
  04A7-04A7  (1)
  04AA-04AA  (1)
  04AD-04AE  (2)
  04B1-04B1  (1)
  04B4-04B4  (1)
  04B7-04B8  (2)
  04BB-04BB  (1)
  04BE-04BF  (2)
  04D6-04D6  (1)
  04E2-04E5  (4)
  04E7-04E8  (2)
  04EB-04EB  (1)
  04EE-04EE  (1)
  04F1-04F2  (2)
  04FC-04FD  (2)
  04FF-04FF  (1)
  0502-0503  (2)
  0506-050A  (5)
  050D-050D  (1)
  0510-0512  (3)
  0515-0515  (1)
  05BD-05BD  (1)
  05C0-05C3  (4)
  05C6-05CF  (10)
  05D1-05D1  (1)
  05D3-05D3  (1)
  05D5-05D5  (1)
  05D7-05D7  (1)
  05D9-05D9  (1)
  05DC-05DD  (2)
  05DF-05E0  (2)
  05E3-05E7  (5)
  0632-0633  (2)
  0636-0636  (1)
  0639-0639  (1)
  063C-063C  (1)
  063F-063F  (1)
  0642-0644  (3)
  0646-0646  (1)
  0649-064F  (7)
  0652-0659  (8)
  065B-065B  (1)
  065E-065E  (1)
  0660-0660  (1)
  0662-0662  (1)
  0665-0667  (3)
  0669-066B  (3)
  066E-066F  (2)
  0671-0671  (1)
  0673-0673  (1)
  0675-0675  (1)
  0679-0679  (1)
  067C-067C  (1)
  067F-067F  (1)
  0681-0681  (1)
  0684-0689  (6)
  068B-068C  (2)
  068E-0691  (4)
  0694-0694  (1)
  0696-0698  (3)
  069B-069C  (2)
  069E-069E  (1)
  06A0-06A2  (3)
  06A5-06A5  (1)
  06A8-06A8  (1)
  06AB-06AB  (1)
  06AE-06AE  (1)
  06B1-06B2  (2)
  06B5-06B5  (1)
  06B7-06B9  (3)
  06BC-06BD  (2)
  06EB-06EC  (2)
  06EF-06F0  (2)
  06F3-06F3  (1)
  06F6-06F6  (1)
  06F8-06FA  (3)
  06FC-0703  (8)
  0706-0708  (3)
  070A-070A  (1)
  070D-070F  (3)
  0711-0714  (4)
  0717-0718  (2)
  071A-071A  (1)
  071C-071D  (2)
  071F-071F  (1)
  0721-0721  (1)
  0723-0723  (1)
  0725-0725  (1)
  0728-0728  (1)
  072A-072A  (1)
  072C-072C  (1)
  072F-072F  (1)
  0731-0731  (1)
  0734-0736  (3)
  0739-073A  (2)
  073D-073F  (3)
  0741-0742  (2)
  0744-0744  (1)
  0747-0748  (2)
  074B-074C  (2)
  074F-074F  (1)
  0752-0756  (5)
  0759-075A  (2)
  075D-075F  (3)
  0762-0762  (1)
  0765-0768  (4)
  076A-076C  (3)
  076E-076E  (1)
  0782-0782  (1)
  0784-0784  (1)
  0787-078A  (4)
  078C-078D  (2)
  0790-0791  (2)
  0793-0793  (1)
  079A-079A  (1)
  079C-079C  (1)
  07AD-07AE  (2)
  07B0-07B0  (1)
  07B2-07B2  (1)
  07B4-07B4  (1)
  07B7-07B7  (1)
  07B9-07B9  (1)
  07BC-07BC  (1)
  07BF-07C3  (5)
  07C6-07C6  (1)
  07DB-07DC  (2)
  07DF-07E1  (3)
  07E4-07E4  (1)
  07E7-07EA  (4)
  07ED-07ED  (1)
  07F0-07F3  (4)
  07F6-07F6  (1)
  07F8-07F8  (1)
  07FA-07FA  (1)
  07FD-07FF  (3)
  0801-0801  (1)
  0803-0805  (3)
  0807-0807  (1)
  0809-0809  (1)
  080B-080B  (1)
  080D-080D  (1)
  082E-082E  (1)
  0831-0833  (3)
  0835-0835  (1)
  0838-083B  (4)
  083D-083D  (1)
  0840-0840  (1)
  0842-0842  (1)
  0861-0866  (6)
  0895-0896  (2)
  0898-0898  (1)
  08A4-08A5  (2)
  08A8-08A9  (2)
  08AB-08AC  (2)
  08AF-08B1  (3)
  08B3-08B3  (1)
  08B5-08B5  (1)
  08B7-08B7  (1)
  08B9-08B9  (1)
  08BB-08BB  (1)
  08BD-08BE  (2)
  0996-0996  (1)
  0998-0998  (1)
  099A-099A  (1)
  099D-099E  (2)
  09A1-09A1  (1)
  09A4-09A4  (1)
  09A7-09A8  (2)
  09AB-09AB  (1)
  09AE-09AF  (2)
  09B2-09B2  (1)
  09B5-09B7  (3)
  09BA-09BB  (2)
  09BD-09BD  (1)
  09BF-09C0  (2)
  09C3-09C4  (2)
  09C7-09C7  (1)
  09CA-09D0  (7)
  09D3-09D3  (1)
  09D6-09D7  (2)
  09E4-09E6  (3)
  09E9-09EB  (3)
  09ED-09ED  (1)
  09F5-09F5  (1)
  09F7-09F7  (1)
  09FA-09FA  (1)
  09FC-09FC  (1)
  09FF-0A01  (3)
  0A03-0A04  (2)
  0A07-0A0F  (9)
  0A12-0A12  (1)
  0A14-0A15  (2)
  0A17-0A17  (1)
  0A19-0A19  (1)
  0A1B-0A1D  (3)
  0A1F-0A1F  (1)
  0A21-0A21  (1)
  0A23-0A23  (1)
  0A25-0A25  (1)
